ax,ay,az,gx,gy,gz,temp,flame
-4088,-8140,22944,-1226,-1045,-1010,125,1
-5516,-9408,22328,-284,959,-1185,111,1
-7216,-4172,18880,-804,199,-1322,143,1
-8784,3300,12108,-1564,-938,-1259,140,1
-7696,-7640,18224,-1222,-649,-1250,132,1
-8508,-5420,17984,-693,527,-1429,159,1
-7892,-3492,18952,-356,970,-1351,132,1
-4120,-9056,21876,-409,665,-1240,131,1
-3132,-9048,19556,-199,1025,-1161,88,1
-9400,-6472,19180,-270,1365,-1025,118,1
-11148,-10560,19872,-1187,-594,-985,116,1
-7252,-9380,22068,-1941,-2279,-752,141,1
-15876,-7916,11924,-2116,-2627,-726,124,1
-15500,-8404,14396,-3624,-3483,-274,139,1
4112,-84,-7360,-3365,-1068,843,135,1
2552,1232,5084,-1316,-1275,959,72,1
3384,824,5560,-788,-2033,1043,116,1
340,2968,9052,-599,-3899,523,116,1
-16116,-560,30484,-876,-4022,422,136,1
-12792,-3804,24408,-1107,-4575,222,158,1
-16152,-144,32767,-1081,-2933,21,144,1
6196,3808,32767,-535,-736,112,119,1
-12864,6756,32767,-980,-2137,76,111,1
-10816,-3488,21288,-1192,-4505,-107,140,1
-15572,-3304,27480,-961,-4166,362,129,1
-248,3660,9236,-868,-3075,642,137,1
3732,4,4924,-700,-2630,906,136,1
-11164,-4944,22304,-881,-2520,913,112,1
2740,1124,7364,-881,-2520,913,128,1
5688,-36,-3236,-2119,-82,907,141,1
4408,-844,-8480,-2532,276,584,140,1
-4952,4440,-2448,-3752,-2347,791,102,1
-7800,-9336,16383,-1,-1,-1,150,1
-2512,-7240,22904,-425,1304,-1331,147,1
-9424,-5188,19800,-848,208,-1290,117,1
-7920,-1036,17920,-548,704,-1487,139,1
-4064,-8584,21608,-291,1239,-1265,108,1
-7300,-6864,19708,-461,1074,-1322,141,1
-9176,5080,13344,-2241,-1999,-835,99,1
-4612,3328,14172,574,2065,-134,136,1
8576,-232,28876,2329,4845,252,143,1
5560,3984,30800,2069,4560,444,138,1
8144,4116,32176,335,1437,472,134,1
4844,3256,30696,364,1396,259,90,1
4100,3840,31396,1694,3669,481,151,1
7824,5504,20968,2432,4890,193,139,1
8240,3112,24096,1600,3751,-134,141,1
8420,1124,27040,653,2293,-241,149,1
-7256,4268,14332,43,1482,-100,175,1
-3272,2332,13124,-1069,-500,-373,158,1
4840,3740,14504,-1301,-360,-246,145,1
0,0,0,0,0,0,156,1
8004,3472,32767,2179,4613,425,103,1
